"sample_id","parent_metre","label_metre_en","text_lang","row_kind","label_ta","text","parse_ok","parse_error","predicted_metre","top_score","pred_matches_parent","feature_schema_version","dense_0","dense_1","dense_2","dense_3","dense_4","dense_5","dense_6","dense_7","dense_8","dense_9","dense_10","dense_11","dense_12","dense_13","dense_14","dense_15","dense_16","dense_17","dense_18","dense_19","dense_20","dense_21","dense_22","dense_23","dense_24","dense_25","dense_26","dense_27","dense_28","dense_29","dense_30","dense_31","dense_32","dense_33","dense_34","dense_35","dense_36","dense_37","dense_38","dense_39","dense_40","dense_41","dense_42","dense_43","dense_44","dense_45","dense_46","dense_47","dense_48","dense_49","dense_50"
"oru_vikarpa_kural_venpaa","venpaa","venpaa","ta","special_type","ஒரு விகற்ப குறள் வெண்பா","முற்ற உணர்ந்தானை ஏத்தி மொழிகுவன்
குற்றமொன்று இல்லா அறம்",1,"","Venpaa",89,1,1,3.583519,0,2,7,15,3.5,4,2.142857,3,0.6666667,0.33333334,6,1,0,0,0,0,0,0,0,0,0.6666667,0.33333334,0,0,0,0,0,0,0,0,0,0,0.14285715,0,0,0,0.42857146,0,0.42857146,0,0,0,0,0,0,0.5,0.5,0,0,0
"iru_vikarpa_kural_venpaa","venpaa","venpaa","ta","special_type","இரு விகற்ப குறள் வெண்பா","நற்காட்சி நன்ஞானம் நல்லொழுக்கம் இம்மூன்றும்
தொக்க அறச்சொல் பொருள்",1,"","Venpaa",89,1,1,3.713572,0,2,7,17,3.5,4,2.4285715,3,0.8235294,0.1764706,6,1,0,0,0,0,0,0,0,0,0.33333334,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714286,0,0.42857146,0,0,0,0,0,0,0.5,0.5,0,0,0
"nerisai_sinthiyal_venpaa","venpaa","venpaa","ta","special_type","நேரிசை சிந்தியல் வெண்பா","அறிந்தானை ஏத்தி அறிவாங் கறிந்து
செறிந்தார்க்குச் செவ்வன் உரைப்ப - செறிந்தார்
சிறந்தமை ஆராய்ந்து கொண்டு",1,"","Venpaa",89,1,1,4.1431346,0,3,11,25,3.6666667,4,2.2727273,3,0.68,0.32,10,1.0000001,0,0,0,0,0,0,0,0,0.70000005,0.3,0,0,0,0,0,0,0,0,0,0,0.09090909,0,0,0,0.36363637,0,0.54545456,0,0,0,0,0,0,0.33333334,0.6666667,0,0,0
"inisai_sinthiyal_venpaa","venpaa","venpaa","ta","special_type","இன்னிசை சிந்தியல் வெண்பா","சுரையாழ அம்மி மிதப்ப வரையனைய
யானைக்கு நீத்து முயற்கு நிலையென்ப
கானக நாடன் சுனை",1,"","Venpaa",89,1,1,3.9318256,0,3,11,25,3.6666667,4,2.2727273,3,0.68,0.32,10,1.0000001,0,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36363637,0,0.54545456,0,0.09090909,0,0,0,0,0.33333334,0.6666667,0,0,0
"oru_vikarpa_nerisai_venpaa","venpaa","venpaa","ta","special_type","ஒரு விகற்ப நேரிசை வெண்பா","கூற்றங் குமைத்த குரைகழற்காற் கும்பிட்டுத்
தோற்றந் துடைத்தேந் துடைத்தேமாற் - சீற்றஞ்செய்
யேற்றினான் றில்லை யிடத்தினா னென்னினியாம்
போற்றினா னல்கும் பொருள்",1,"","Venpaa",89,1,1,4.4886365,0,4,15,34,3.75,4,2.2666667,3,0.6764706,0.32352942,14,1.0000001,0,0,0,0,0,0,0,0,0.6428572,0.35714287,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0,0,0.4,0,0.46666667,0,0.06666667,0,0,0,0,0.25,0.75,0,0,0
"iru_vikarpa_nerisai_venpaa","venpaa","venpaa","ta","special_type","இரு விகற்ப நேரிசை வெண்பா","மாதவா போதி வரதா வருளமலா
பாதமே யோத சுரரைநீ - தீதகல
மாயா நெறியளிப்பா யின்றன் பகலாச்சீர்த்
தாயே யலகில்லா டாம்",1,"","Venpaa",89,1,1,4.26268,0,4,15,35,3.75,4,2.3333333,3,0.6857143,0.31428573,14,1.0000001,0,0,0,0,0,0,0,0,0.5714286,0.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.46666667,0,0.13333334,0,0,0,0,0.25,0.75,0,0,0
"oru_vikarpa_inisai_venpaa","venpaa","venpaa","ta","special_type","ஒரு விகற்ப இன்னிசை வெண்பா","துகடீர் பெருஞ்செல்வம் தோன்றியக்கால் தொட்டுப்
பகடு நடந்தகூழ் பல்லாரோ டுண்க
அகடுற யார்மாட்டும் நில்லாது செல்வம்
சகடக்கால் போல வரும்",1,"","Venpaa",89,1,1,4.406719,0,4,15,35,3.75,4,2.3333333,3,0.71428573,0.2857143,14,1.0000001,0,0,0,0,0,0,0,0,0.5714286,0.42857143,0,0,0,0,0,0,0,0,0,0,0.13333334,0,0,0,0.46666667,0,0.4,0,0,0,0,0,0,0.25,0.75,0,0,0
"pala_vikarpa_inisai_venpaa","venpaa","venpaa","ta","special_type","பல விகற்ப இன்னிசை வெண்பா","இன்றுகொல் அன்றுகொல் என்றுகொல் என்னாது
பின்றையே நின்றது கூற்றமென் றெண்ணி
ஒருவுமின் தீயவை ஒல்லும் வகையான்
மருவுமின் மாண்டார் அறம்",1,"","Venpaa",89,1,1,4.356709,0,4,15,31,3.75,4,2.0666666,3,0.61290324,0.38709676,14,1.0000001,0,0,0,0,0,0,0,0,0.857143,0.14285715,0,0,0,0,0,0,0,0,0,0,0.13333334,0,0,0,0.33333334,0,0.53333336,0,0,0,0,0,0,0.25,0.75,0,0,0
"paqrodai_venpaa","venpaa","venpaa","ta","special_type","பஃறொடை வெண்பா","வையக மெல்லாங் கழினியா வையகத்துட்
செய்யகமே நாற்றிசையின் றேயங்கள் செய்யகத்துள்
வான்கரும்பே தொண்டை வளநாடு வான்கரும்பின்
சாறேயந் நாட்டிற் றிலையூர்கள் சாறட்ட
கட்டியே கச்சிப் புறமெல்லாங்க் கட்டியுட்
டானேற்ற மான சருக்கரை மாமணியே
ஆணேற்றான் கச்சி யகம்",1,"","Venpaa",89,1,1,5.0172796,0,7,27,68,3.857143,4,2.5185184,3,0.7352941,0.2647059,26,1.0000004,0,0,0,0,0,0,0,0,0.42307693,0.57692313,0,0,0,0,0,0,0,0,0,0,0.074074075,0,0,0,0.40740746,0,0.51851857,0,0,0,0,0,0,0.14285715,0.85714287,0,0,0
"kalivenpaa","venpaa","venpaa","ta","special_type","கலிவெண்பா","சுடர்த்தொடீஇ கேளாய் தெருவில்நாம் ஆடும்
மணற்சிற்றில் காலில் சிதையா அடைச்சிய
கோதை பரிந்து வரிப்பந்து கொண்டோடி
நோதக்க செய்யும் சிறுபட்டி மேல்ஓர்நாள்
அன்னையும் யானும் இருந்தேமா இல்லிரே
உண்ணுநீர் வேட்டேன் எனவந்தாற் கன்னை
அடர்பொற் சிரகத்தால் வாக்கிச் சுடரிழாய்
உண்ணுநீர் ஊட்டிவா என்றாள் எனயானும்
தன்னை அறியாது சென்றேன்மற் றென்னை
வளைமுன்கை பற்றி நலியத் தெருமந்திட்(டு)
அன்னாய் இவனொருவன் செய்ததுகாண்’ என்றேனா
அன்னை அலறிப் படர்தரத் தன்னையான்
உண்ணுநீர் விக்கினான் என்றேனா அன்னையும்
தன்னைப் புறம்பழித்து நீவமற் றென்னைக்
கடைக்கணால் கொல்வான்போல் நோக்கி நகைக்கூட்டம்
செய்தானக் கள்வன் மகன்",1,"","Venpaa",89,1,1,5.874931,0,16,64,153,4,5,2.390625,3,0.7385621,0.26143792,63,0.984127,0.015873017,0,0,0,0,0,0.015873017,0,0.5555556,0.42857143,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.484375,0,0.40625,0,0.046875,0,0,0,0,0.0625,0.875,0.0625,0,0
